image,type,kernel_size,time
image,mean,5,0.0401158
image,highlight,5,0.0398151
3,median,5,0.0637755
3,mean,5,0.00995317
3,highlight,5,0.00990691
1,median,5,0.260112
1,mean,5,0.0395432
1,highlight,5,0.0499001
8,median,5,0.266251
8,mean,5,0.0394892
12,median,5,0.253118
8,highlight,5,0.0398311
12,mean,5,0.0394616
12,highlight,5,0.0395081
0,median,5,0.254687
0,mean,5,0.0392646
0,highlight,5,0.0393797
23,median,7,0.570847
23,mean,7,0.0733452
5,median,5,0.258956
5,mean,5,0.0396473
23,highlight,7,0.0770128
5,highlight,5,0.0391559
17,median,7,0.567267
17,mean,7,0.0735503
17,highlight,7,0.0854577
13,median,5,1.0722
13,mean,5,0.15776
20,median,7,0.568607
20,mean,7,0.0735838
13,highlight,5,0.156985
20,highlight,7,0.0770084
14,median,7,0.0847702
14,mean,7,0.0185497
14,highlight,7,0.0185014
saltpepper1,median,7,0.585856
saltpepper1,mean,7,0.0734072
saltpepper1,highlight,7,0.0739299
15,median,5,1.03776
15,mean,5,0.163212
15,highlight,5,0.158295
18,median,7,0.518742
18,mean,7,0.0734402
18,highlight,7,0.0741273
16,median,7,0.46447
16,mean,7,0.0733788
16,highlight,7,0.0741828
7,median,5,1.06744
7,mean,5,0.157064
4,median,7,0.579713
7,highlight,5,0.163608
4,mean,7,0.0772059
4,highlight,7,0.0740789
9,median,7,0.581572
9,mean,7,0.0733127
2,median,7,0.564263
9,highlight,7,0.0733144
2,mean,7,0.0738947
2,highlight,7,0.0734662
6,median,7,0.579427
6,mean,7,0.073426
image,median,7,0.534992
6,highlight,7,0.0732547
image,mean,7,0.0733497
image,highlight,7,0.0744525
3,median,7,0.147637
3,mean,7,0.0234582
3,highlight,7,0.0183612
24,median,7,0.580535
24,mean,7,0.0732703
24,highlight,7,0.0732395
8,median,7,0.571548
8,mean,7,0.0734599
8,highlight,7,0.0744932
21,median,7,0.548054
21,mean,7,0.0733457
21,highlight,7,0.0733842
22,median,7,0.552401
23,median,9,1.00986
22,mean,7,0.0732828
23,mean,9,0.117548
22,highlight,7,0.0744174
23,highlight,9,0.11786
1,median,7,0.579367
1,mean,7,0.0735031
1,highlight,7,0.0743317
17,median,9,0.992956
17,mean,9,0.118447
12,median,7,0.557165
17,highlight,9,0.123353
12,mean,7,0.0753247
12,highlight,7,0.0733243
0,median,7,0.567942
0,mean,7,0.0733745
0,highlight,7,0.073966
20,median,9,1.00744
20,mean,9,0.11779
20,highlight,9,0.120516
5,median,7,0.564025
14,median,9,0.175095
14,mean,9,0.029461
5,mean,7,0.084397
14,highlight,9,0.0297943
5,highlight,7,0.0735
saltpepper1,median,9,1.04913
saltpepper1,mean,9,0.122692
saltpepper1,highlight,9,0.118245
18,median,9,0.912528
18,mean,9,0.121468
13,median,7,2.37175
18,highlight,9,0.118713
13,mean,7,0.293033
13,highlight,7,0.303874
16,median,9,0.823763
16,mean,9,0.117921
16,highlight,9,0.12288
4,median,9,1.03296
4,mean,9,0.121312
4,highlight,9,0.11791
15,median,7,2.31292
15,mean,7,0.300965
2,median,9,1.01178
2,mean,9,0.117475
15,highlight,7,0.293524
2,highlight,9,0.117427
image,median,9,0.94306
image,mean,9,0.116918
image,highlight,9,0.117454
3,median,9,0.257948
3,mean,9,0.0293613
3,highlight,9,0.0298574
7,median,7,2.34021
8,median,9,1.03135
7,mean,7,0.301978
8,mean,9,0.117822
8,highlight,9,0.11882
7,highlight,7,0.295244
9,median,9,1.04362
9,mean,9,0.119039
9,highlight,9,0.11767
23,median,11,1.58003
23,mean,11,0.18223
23,highlight,11,0.172957
6,median,9,1.04497
6,mean,9,0.117981
6,highlight,9,0.118289
17,median,11,1.55407
17,mean,11,0.17437
24,median,9,1.02793
24,mean,9,0.118046
17,highlight,11,0.174367
24,highlight,9,0.118483
21,median,9,0.971622
21,mean,9,0.118175
21,highlight,9,0.117835
20,median,11,1.56367
20,mean,11,0.17435
20,highlight,11,0.174196
14,median,11,0.242279
14,mean,11,0.0436069
22,median,9,0.95511
14,highlight,11,0.0439143
22,mean,9,0.118172
22,highlight,9,0.129607
1,median,9,1.03941
1,mean,9,0.121405
1,highlight,9,0.117173
saltpepper1,median,11,1.64901
saltpepper1,mean,11,0.173381
saltpepper1,highlight,11,0.173856
12,median,9,0.985967
12,mean,9,0.117279
12,highlight,9,0.12895
18,median,11,1.42491
18,mean,11,0.174248
0,median,9,1.0118
18,highlight,11,0.174781
0,mean,9,0.117802
0,highlight,9,0.11838
5,median,9,0.991577
16,median,11,1.27128
5,mean,9,0.118101
16,mean,11,0.179618
5,highlight,9,0.128587
16,highlight,11,0.174955
4,median,11,1.62553
4,mean,11,0.173632
4,highlight,11,0.173839
2,median,11,1.57109
2,mean,11,0.185718
2,highlight,11,0.173041
13,median,9,4.26053
13,mean,9,0.47117
13,highlight,9,0.473209
image,median,11,1.47788
image,mean,11,0.174081
image,highlight,11,0.185298
3,median,11,0.410678
3,mean,11,0.043581
3,highlight,11,0.0433662
8,median,11,1.6266
8,mean,11,0.174387
8,highlight,11,0.174519
23,rotate,0,0.119354
23,schear,0,0.117619
17,rotate,0,0.117385
17,schear,0,0.126257
20,rotate,0,0.135711
20,schear,0,0.115953
14,rotate,0,0.0298207
14,schear,0,0.0290861
saltpepper1,rotate,0,0.117435
15,median,9,4.17086
saltpepper1,schear,0,0.117573
18,rotate,0,0.135804
18,schear,0,0.115827
16,rotate,0,0.11942
15,mean,9,0.482748
16,schear,0,0.116058
4,rotate,0,0.122436
4,schear,0,0.117774
2,rotate,0,0.135977
15,highlight,9,0.489879
2,schear,0,0.117806
image,rotate,0,0.125374
image,schear,0,0.122904
3,rotate,0,0.0341702
3,schear,0,0.0291697
8,rotate,0,0.140914
8,schear,0,0.117543
7,median,9,4.13856
7,mean,9,0.471786
7,highlight,9,0.471423
9,median,11,1.64496
9,mean,11,0.17338
9,highlight,11,0.180204
6,median,11,1.63891
6,mean,11,0.174604
6,highlight,11,0.1737
24,median,11,1.62945
24,mean,11,0.181517
24,highlight,11,0.173535
21,median,11,1.51624
21,mean,11,0.177655
21,highlight,11,0.177334
22,median,11,1.49497
22,mean,11,0.187764
22,highlight,11,0.178161
1,median,11,1.64768
1,mean,11,0.177503
1,highlight,11,0.176529
12,median,11,1.5511
12,mean,11,0.174678
12,highlight,11,0.174093
0,median,11,1.60084
0,mean,11,0.173927
0,highlight,11,0.180487
5,median,11,1.55704
5,mean,11,0.174897
5,highlight,11,0.173596
13,median,11,6.74691
13,mean,11,0.699158
13,highlight,11,0.696423
15,median,11,6.54627
15,mean,11,0.704141
15,highlight,11,0.695858
7,median,11,6.48998
7,mean,11,0.69575
7,highlight,11,0.695902
9,rotate,0,0.117563
9,schear,0,0.116708
6,rotate,0,0.124594
6,schear,0,0.116309
24,rotate,0,0.116485
24,schear,0,0.116321
21,rotate,0,0.116451
21,schear,0,0.116327
22,rotate,0,0.116273
22,schear,0,0.118629
1,rotate,0,0.117794
1,schear,0,0.116145
12,rotate,0,0.116275
12,schear,0,0.1164
0,rotate,0,0.116619
0,schear,0,0.116281
5,rotate,0,0.125361
5,schear,0,0.116204
13,rotate,0,0.467287
13,schear,0,0.465385
15,rotate,0,0.467031
15,schear,0,0.465896
7,rotate,0,0.466322
7,schear,0,0.474687
9,median,3,0.0756975
23,median,3,0.0748923
9,mean,3,0.0169518
23,mean,3,0.0169979
9,highlight,3,0.0168715
23,highlight,3,0.0168587
17,median,3,0.0747072
6,median,3,0.0789746
17,mean,3,0.016991
6,mean,3,0.0169113
17,highlight,3,0.016988
6,highlight,3,0.0168888
20,median,3,0.0795711
24,median,3,0.079177
20,mean,3,0.0170293
24,mean,3,0.0168297
20,highlight,3,0.0167536
24,highlight,3,0.0167126
14,median,3,0.0116759
14,mean,3,0.00435678
14,highlight,3,0.00427285
21,median,3,0.0756766
21,mean,3,0.0168385
saltpepper1,median,3,0.074195
21,highlight,3,0.0168366
saltpepper1,mean,3,0.0170032
saltpepper1,highlight,3,0.0171178
22,median,3,0.0772678
18,median,3,0.0688268
22,mean,3,0.0168624
18,mean,3,0.0168443
22,highlight,3,0.0167835
18,highlight,3,0.0171224
16,median,3,0.0661165
1,median,3,0.0791253
16,mean,3,0.0169214
1,mean,3,0.0168325
16,highlight,3,0.0170637
1,highlight,3,0.0167557
12,median,3,0.0810616
4,median,3,0.0842615
12,mean,3,0.016856
4,mean,3,0.0168606
12,highlight,3,0.0167639
4,highlight,3,0.0169776
0,median,3,0.073805
2,median,3,0.0783113
0,mean,3,0.0168261
2,mean,3,0.016844
0,highlight,3,0.0169176
2,highlight,3,0.0167918
5,median,3,0.0740775
image,median,3,0.0745583
5,mean,3,0.0168065
image,mean,3,0.0169022
5,highlight,3,0.0167536
image,highlight,3,0.0170331
3,median,3,0.0188482
3,mean,3,0.00650571
3,highlight,3,0.00469897
8,median,3,0.0728588
8,mean,3,0.016867
8,highlight,3,0.0176161
13,median,3,0.302219
13,mean,3,0.067324
23,median,5,0.260924
13,highlight,3,0.0671987
23,mean,5,0.0429712
23,highlight,5,0.0393382
15,median,3,0.306859
17,median,5,0.268114
17,mean,5,0.0393401
15,mean,3,0.0673004
17,highlight,5,0.0393825
15,highlight,3,0.0672111
20,median,5,0.257231
20,mean,5,0.03956
20,highlight,5,0.0393403
7,median,3,0.301551
14,median,5,0.0372195
14,mean,5,0.00995243
14,highlight,5,0.0100443
7,mean,3,0.067291
7,highlight,3,0.0671443
saltpepper1,median,5,0.263096
saltpepper1,mean,5,0.0392857
saltpepper1,highlight,5,0.040191
9,median,5,0.261485
9,mean,5,0.0391858
9,highlight,5,0.039265
18,median,5,0.238296
18,mean,5,0.0398819
18,highlight,5,0.0395593
6,median,5,0.259218
6,mean,5,0.0392427
6,highlight,5,0.0393352
16,median,5,0.217639
16,mean,5,0.0431259
16,highlight,5,0.0399928
24,median,5,0.259112
24,mean,5,0.0392703
24,highlight,5,0.0393749
4,median,5,0.257383
4,mean,5,0.0405475
4,highlight,5,0.0398154
21,median,5,0.248435
21,mean,5,0.0392667
21,highlight,5,0.0422141
2,median,5,0.258506
2,mean,5,0.0397403
2,highlight,5,0.0393603
22,median,5,0.262971
22,mean,5,0.0394497
22,highlight,5,0.0432815
image,median,5,0.24503
image,mean,5,0.039568
image,highlight,5,0.0398549
3,median,5,0.0637772
3,mean,5,0.00990644
3,highlight,5,0.00983395
1,median,5,0.263068
1,mean,5,0.0395433
1,highlight,5,0.042598
8,median,5,0.255663
8,mean,5,0.0395717
8,highlight,5,0.0399672
12,median,5,0.25604
12,mean,5,0.0393269
12,highlight,5,0.0391713
0,median,5,0.258758
0,mean,5,0.039407
0,highlight,5,0.0394307
23,median,7,0.569887
23,mean,7,0.0749572
5,median,5,0.265567
23,highlight,7,0.0738845
5,mean,5,0.039417
5,highlight,5,0.0392392
17,median,7,0.565158
17,mean,7,0.0738988
17,highlight,7,0.0734679
13,median,5,1.06516
13,mean,5,0.157397
20,median,7,0.560459
20,mean,7,0.0732631
20,highlight,7,0.0733328
13,highlight,5,0.157111
14,median,7,0.084031
14,mean,7,0.0186627
14,highlight,7,0.0186627
saltpepper1,median,7,0.588696
saltpepper1,mean,7,0.0736443
saltpepper1,highlight,7,0.0740659
15,median,5,1.05157
15,mean,5,0.16086
18,median,7,0.512736
15,highlight,5,0.160797
18,mean,7,0.0737175
18,highlight,7,0.0739286
16,median,7,0.464057
16,mean,7,0.0738962
16,highlight,7,0.0808855
7,median,5,1.0889
7,mean,5,0.16112
4,median,7,0.576533
4,mean,7,0.0736426
7,highlight,5,0.160641
4,highlight,7,0.0750204
9,median,7,0.587227
2,median,7,0.563945
9,mean,7,0.0734275
2,mean,7,0.0735304
9,highlight,7,0.0767529
2,highlight,7,0.074117
image,median,7,0.54277
6,median,7,0.587846
image,mean,7,0.0734242
6,mean,7,0.0734871
image,highlight,7,0.0745161
6,highlight,7,0.0781609
3,median,7,0.143901
3,mean,7,0.0186682
3,highlight,7,0.0185117
24,median,7,0.580687
24,mean,7,0.0733152
24,highlight,7,0.0770595
8,median,7,0.571374
8,mean,7,0.0736869
8,highlight,7,0.0741734
21,median,7,0.559439
21,mean,7,0.0734052
21,highlight,7,0.0740201
23,median,9,1.00658
22,median,7,0.546199
23,mean,9,0.118596
22,mean,7,0.0736835
22,highlight,7,0.0733439
23,highlight,9,0.117707
1,median,7,0.577823
1,mean,7,0.0735061
1,highlight,7,0.0739296
17,median,9,0.993308
17,mean,9,0.118216
17,highlight,9,0.129441
12,median,7,0.564884
12,mean,7,0.0736216
12,highlight,7,0.0735084
0,median,7,0.566092
0,mean,7,0.073569
0,highlight,7,0.0750839
20,median,9,1.00222
20,mean,9,0.121715
20,highlight,9,0.120704
14,median,9,0.163786
14,mean,9,0.0295047
14,highlight,9,0.0296701
5,median,7,0.56852
5,mean,7,0.0733316
5,highlight,7,0.0731754
saltpepper1,median,9,1.03846
saltpepper1,mean,9,0.119027
saltpepper1,highlight,9,0.119175
18,median,9,0.909828
18,mean,9,0.119778
18,highlight,9,0.11845
13,median,7,2.37465
13,mean,7,0.292957
13,highlight,7,0.29364
16,median,9,0.808717
16,mean,9,0.118541
16,highlight,9,0.124299
4,median,9,1.02844
4,mean,9,0.117886
4,highlight,9,0.118951
15,median,7,2.32313
15,mean,7,0.293878
2,median,9,1.00545
2,mean,9,0.118973
2,highlight,9,0.118471
15,highlight,7,0.29337
image,median,9,0.943057
image,mean,9,0.118384
image,highlight,9,0.119839
3,median,9,0.267321
3,mean,9,0.02929
3,highlight,9,0.0294955
7,median,7,2.34455
8,median,9,1.02395
8,mean,9,0.11774
7,mean,7,0.293047
8,highlight,9,0.11881
7,highlight,7,0.292905
9,median,9,1.03977
9,mean,9,0.126448
9,highlight,9,0.118381
23,median,11,1.58822
23,mean,11,0.173898
23,highlight,11,0.174149
6,median,9,1.03555
6,mean,9,0.117447
6,highlight,9,0.117824
17,median,11,1.55495
17,mean,11,0.176181
24,median,9,1.03167
17,highlight,11,0.175194
24,mean,9,0.117997
24,highlight,9,0.117363
21,median,9,0.964336
21,mean,9,0.118304
21,highlight,9,0.118449
20,median,11,1.56142
20,mean,11,0.175958
20,highlight,11,0.180614
14,median,11,0.242284
14,mean,11,0.0436954
14,highlight,11,0.0436715
22,median,9,0.959293
22,mean,9,0.118041
22,highlight,9,0.118058
1,median,9,1.03966
1,mean,9,0.121536
1,highlight,9,0.11718
saltpepper1,median,11,1.65221
saltpepper1,mean,11,0.184574
saltpepper1,highlight,11,0.174039
12,median,9,0.999924
12,mean,9,0.121405
12,highlight,9,0.117536
18,median,11,1.40757
18,mean,11,0.174183
18,highlight,11,0.174297
0,median,9,1.01946
0,mean,9,0.123153
0,highlight,9,0.118295
16,median,11,1.27209
5,median,9,0.994168
16,mean,11,0.18209
5,mean,9,0.118555
5,highlight,9,0.11865
16,highlight,11,0.177642
4,median,11,1.63205
4,mean,11,0.176835
4,highlight,11,0.175363
2,median,11,1.57516
2,mean,11,0.17729
2,highlight,11,0.181828
13,median,9,4.24961
13,mean,9,0.473551
13,highlight,9,0.471517
image,median,11,1.47581
image,mean,11,0.182187
image,highlight,11,0.175179
3,median,11,0.41024
3,mean,11,0.043599
3,highlight,11,0.0433245
8,median,11,1.62156
8,mean,11,0.175118
8,highlight,11,0.174846
23,rotate,0,0.117381
23,schear,0,0.12662
17,rotate,0,0.117058
17,schear,0,0.117998
20,rotate,0,0.117446
20,schear,0,0.117654
14,rotate,0,0.0295855
14,schear,0,0.0294018
saltpepper1,rotate,0,0.11713
saltpepper1,schear,0,0.118067
15,median,9,4.13789
18,rotate,0,0.117139
18,schear,0,0.127127
16,rotate,0,0.117504
16,schear,0,0.119621
15,mean,9,0.482271
4,rotate,0,0.118593
4,schear,0,0.118975
2,rotate,0,0.118779
2,schear,0,0.119061
15,highlight,9,0.471868
image,rotate,0,0.118617
image,schear,0,0.127593
3,rotate,0,0.0293919
3,schear,0,0.0293962
8,rotate,0,0.117791
8,schear,0,0.119142
7,median,9,4.13254
7,mean,9,0.472986
7,highlight,9,0.470437
9,median,11,1.64784
9,mean,11,0.185804
9,highlight,11,0.174567
6,median,11,1.64582
6,mean,11,0.175329
6,highlight,11,0.17508
24,median,11,1.64278
24,mean,11,0.174134
24,highlight,11,0.174209
21,median,11,1.51674
21,mean,11,0.174746
21,highlight,11,0.174648
22,median,11,1.49053
22,mean,11,0.173833
22,highlight,11,0.173386
1,median,11,1.64148
1,mean,11,0.173766
1,highlight,11,0.1819
12,median,11,1.54903
12,mean,11,0.173812
12,highlight,11,0.173956
0,median,11,1.60238
0,mean,11,0.184817
0,highlight,11,0.173634
5,median,11,1.55844
5,mean,11,0.173863
5,highlight,11,0.17361
13,median,11,6.74694
13,mean,11,0.703127
13,highlight,11,0.697368
15,median,11,6.55335
15,mean,11,0.70168
15,highlight,11,0.697815
7,median,11,6.48347
7,mean,11,0.696105
7,highlight,11,0.697224
9,rotate,0,0.117671
9,schear,0,0.117258
6,rotate,0,0.118024
6,schear,0,0.117652
24,rotate,0,0.117356
24,schear,0,0.125996
21,rotate,0,0.117628
21,schear,0,0.117199
22,rotate,0,0.117269
22,schear,0,0.11744
1,rotate,0,0.117443
1,schear,0,0.117417
12,rotate,0,0.124401
12,schear,0,0.118539
0,rotate,0,0.118519
0,schear,0,0.118677
5,rotate,0,0.118453
5,schear,0,0.120557
13,rotate,0,0.471692
13,schear,0,0.479991
15,rotate,0,0.47061
15,schear,0,0.469302
7,rotate,0,0.470204
7,schear,0,0.469364
9,median,3,0.0758642
23,median,3,0.0748122
9,mean,3,0.0168998
23,mean,3,0.0168603
9,highlight,3,0.0167635
23,highlight,3,0.0167228
6,median,3,0.0753268
17,median,3,0.089694
6,mean,3,0.0169123
17,mean,3,0.0170002
6,highlight,3,0.0168898
17,highlight,3,0.0171831
24,median,3,0.0836817
20,median,3,0.0827859
24,mean,3,0.0169393
20,mean,3,0.0172327
24,highlight,3,0.0168232
20,highlight,3,0.0171852
14,median,3,0.0119615
14,mean,3,0.0042912
14,highlight,3,0.00434987
21,median,3,0.0728075
21,mean,3,0.0169825
21,highlight,3,0.0170349
saltpepper1,median,3,0.0750443
saltpepper1,mean,3,0.0169579
saltpepper1,highlight,3,0.0171473
22,median,3,0.0742543
22,mean,3,0.0169291
22,highlight,3,0.0169517
18,median,3,0.0693384
18,mean,3,0.0169429
18,highlight,3,0.0169444
1,median,3,0.0760881
1,mean,3,0.0169185
16,median,3,0.0653898
1,highlight,3,0.0167699
16,mean,3,0.017101
16,highlight,3,0.0169298
12,median,3,0.0740984
12,mean,3,0.0169464
4,median,3,0.0732421
12,highlight,3,0.0167522
4,mean,3,0.0170084
4,highlight,3,0.0171013
0,median,3,0.0739421
0,mean,3,0.0169457
2,median,3,0.0741843
0,highlight,3,0.0168181
2,mean,3,0.0173734
2,highlight,3,0.0168583
5,median,3,0.0743523
5,mean,3,0.0168654
image,median,3,0.0706615
5,highlight,3,0.0168602
image,mean,3,0.017015
image,highlight,3,0.0170074
3,median,3,0.0182829
3,mean,3,0.00424455
3,highlight,3,0.00419871
8,median,3,0.0729439
8,mean,3,0.0168854
8,highlight,3,0.0173714
13,median,3,0.303944
13,mean,3,0.0677488
23,median,5,0.25913
13,highlight,3,0.0675587
23,mean,5,0.0406126
23,highlight,5,0.039435
15,median,3,0.300513
17,median,5,0.258853
17,mean,5,0.0395347
15,mean,3,0.0672968
17,highlight,5,0.0403433
15,highlight,3,0.0673369
20,median,5,0.256845
20,mean,5,0.0395541
20,highlight,5,0.0392897
7,median,3,0.312073
14,median,5,0.0376711
14,mean,5,0.00988543
14,highlight,5,0.00996078
7,mean,3,0.0675829
7,highlight,3,0.0668298
saltpepper1,median,5,0.261479
saltpepper1,mean,5,0.0393008
saltpepper1,highlight,5,0.0397396
9,median,5,0.261273
9,mean,5,0.0392874
9,highlight,5,0.0392338
18,median,5,0.23576
18,mean,5,0.0394332
18,highlight,5,0.0395202
6,median,5,0.259048
6,mean,5,0.0393073
6,highlight,5,0.0395021
16,median,5,0.218371
16,mean,5,0.0396647
16,highlight,5,0.039841
24,median,5,0.258974
24,mean,5,0.0393413
24,highlight,5,0.0391993
4,median,5,0.257376
4,mean,5,0.0394839
4,highlight,5,0.0397576
21,median,5,0.248297
21,mean,5,0.0394314
21,highlight,5,0.0487973
2,median,5,0.255804
2,mean,5,0.039655
2,highlight,5,0.0393696
22,median,5,0.258266
22,mean,5,0.0392752
22,highlight,5,0.0431695
image,median,5,0.245584
image,mean,5,0.0393073
image,highlight,5,0.0398496
3,median,5,0.063879
3,mean,5,0.00984614
3,highlight,5,0.00988585
1,median,5,0.263149
1,mean,5,0.0429892
1,highlight,5,0.0394315
8,median,5,0.255704
8,mean,5,0.0394205
8,highlight,5,0.0399736
12,median,5,0.256001
12,mean,5,0.0393283
12,highlight,5,0.039199
0,median,5,0.25738
0,mean,5,0.0393243
0,highlight,5,0.039407
23,median,7,0.564121
23,mean,7,0.0822916
5,median,5,0.278122
23,highlight,7,0.073296
5,mean,5,0.0394101
5,highlight,5,0.0396817
17,median,7,0.563219
17,mean,7,0.0735338
17,highlight,7,0.0743957
13,median,5,1.06696
20,median,7,0.561095
13,mean,5,0.167346
20,mean,7,0.0806917
20,highlight,7,0.0731087
13,highlight,5,0.157079
14,median,7,0.0841535
14,mean,7,0.0186412
14,highlight,7,0.0185134
saltpepper1,median,7,0.581188
saltpepper1,mean,7,0.07322
saltpepper1,highlight,7,0.0741187
15,median,5,1.03762
15,mean,5,0.158859
18,median,7,0.512046
15,highlight,5,0.1577
18,mean,7,0.0732195
18,highlight,7,0.0741437
16,median,7,0.470339
16,mean,7,0.0736941
16,highlight,7,0.0743239
7,median,5,1.07613
7,mean,5,0.15917
4,median,7,0.574091
4,mean,7,0.074919
7,highlight,5,0.157854
4,highlight,7,0.0741169
9,median,7,0.583982
2,median,7,0.56307
9,mean,7,0.0742259
2,mean,7,0.073704
9,highlight,7,0.0857384
2,highlight,7,0.0850344
image,median,7,0.534473
6,median,7,0.580835
image,mean,7,0.0736491
6,mean,7,0.073462
image,highlight,7,0.0738931
6,highlight,7,0.0739232
3,median,7,0.143283
3,mean,7,0.018326
3,highlight,7,0.0186304
24,median,7,0.575938
24,mean,7,0.0735782
24,highlight,7,0.0737802
8,median,7,0.570498
8,mean,7,0.0734407
8,highlight,7,0.074174
21,median,7,0.553226
21,mean,7,0.0734358
21,highlight,7,0.0739203
23,median,9,1.00387
22,median,7,0.547535
23,mean,9,0.11827
22,mean,7,0.0734185
22,highlight,7,0.0732045
23,highlight,9,0.117848
1,median,7,0.579634
1,mean,7,0.0733616
1,highlight,7,0.0734573
17,median,9,0.990673
17,mean,9,0.119396
17,highlight,9,0.122867
12,median,7,0.561369
12,mean,7,0.0732279
12,highlight,7,0.0734268
0,median,7,0.566548
0,mean,7,0.0734623
0,highlight,7,0.0734962
20,median,9,1.00577
20,mean,9,0.118693
20,highlight,9,0.118203
14,median,9,0.161012
14,mean,9,0.0294136
14,highlight,9,0.0297464
5,median,7,0.568221
5,mean,7,0.0733395
5,highlight,7,0.0741905
saltpepper1,median,9,1.03795
saltpepper1,mean,9,0.119985
saltpepper1,highlight,9,0.11874
18,median,9,0.898379
18,mean,9,0.118544
18,highlight,9,0.118899
13,median,7,2.37584
13,mean,7,0.293212
13,highlight,7,0.292906
16,median,9,0.805087
16,mean,9,0.128918
16,highlight,9,0.118411
4,median,9,1.02692
4,mean,9,0.119411
4,highlight,9,0.118685
15,median,7,2.31841
2,median,9,1.00157
15,mean,7,0.293212
2,mean,9,0.117891
2,highlight,9,0.1194
15,highlight,7,0.299422
image,median,9,0.95209
image,mean,9,0.118994
image,highlight,9,0.117885
3,median,9,0.258683
3,mean,9,0.0295914
3,highlight,9,0.0299037
7,median,7,2.33777
8,median,9,1.02915
8,mean,9,0.118152
7,mean,7,0.305612
8,highlight,9,0.122398
7,highlight,7,0.294135
9,median,9,1.03953
9,mean,9,0.11792
9,highlight,9,0.118132
23,median,11,1.57449
23,mean,11,0.178323
23,highlight,11,0.177541
6,median,9,1.04146
6,mean,9,0.11805
6,highlight,9,0.117908
17,median,11,1.55988
17,mean,11,0.183873
24,median,9,1.02897
17,highlight,11,0.177986
24,mean,9,0.117638
24,highlight,9,0.118169
21,median,9,0.971365
21,mean,9,0.118756
21,highlight,9,0.11785
20,median,11,1.57093
20,mean,11,0.17432
20,highlight,11,0.17361
14,median,11,0.24787
14,mean,11,0.0437538
14,highlight,11,0.0434256
22,median,9,0.962481
22,mean,9,0.121946
22,highlight,9,0.121255
1,median,9,1.0402
1,mean,9,0.123034
saltpepper1,median,11,1.64127
1,highlight,9,0.117777
saltpepper1,mean,11,0.175067
saltpepper1,highlight,11,0.184306
12,median,9,1.00132
12,mean,9,0.118254
12,highlight,9,0.117897
18,median,11,1.41764
18,mean,11,0.17836
18,highlight,11,0.177952
0,median,9,1.01252
0,mean,9,0.125689
0,highlight,9,0.118219
16,median,11,1.28178
5,median,9,0.992596
16,mean,11,0.174461
5,mean,9,0.117886
5,highlight,9,0.118012
16,highlight,11,0.175047
4,median,11,1.63015
4,mean,11,0.174363
4,highlight,11,0.174257
2,median,11,1.57904
2,mean,11,0.173917
2,highlight,11,0.175044
13,median,9,4.25381
13,mean,9,0.473459
13,highlight,9,0.475892
image,median,11,1.47874
image,mean,11,0.174209
image,highlight,11,0.174163
3,median,11,0.409936
3,mean,11,0.0437663
3,highlight,11,0.0436744
8,median,11,1.62713
8,mean,11,0.173623
8,highlight,11,0.174192
23,rotate,0,0.116893
23,schear,0,0.117065
17,rotate,0,0.116617
17,schear,0,0.116849
20,rotate,0,0.117115
20,schear,0,0.133668
14,rotate,0,0.0292481
14,schear,0,0.0294544
saltpepper1,rotate,0,0.116641
saltpepper1,schear,0,0.122924
15,median,9,4.14278
18,rotate,0,0.122203
18,schear,0,0.121942
16,rotate,0,0.121779
16,schear,0,0.121753
15,mean,9,0.483015
4,rotate,0,0.138932
4,schear,0,0.122127
2,rotate,0,0.117254
2,schear,0,0.121725
15,highlight,9,0.474168
image,rotate,0,0.121815
image,schear,0,0.122213
3,rotate,0,0.0292483
3,schear,0,0.0293147
8,rotate,0,0.116624
8,schear,0,0.122002
7,median,9,4.13911
7,mean,9,0.471902
7,highlight,9,0.479869
9,median,11,1.64472
9,mean,11,0.173993
9,highlight,11,0.174194
6,median,11,1.6405
6,mean,11,0.174124
6,highlight,11,0.184263
24,median,11,1.63497
24,mean,11,0.177732
24,highlight,11,0.177441
21,median,11,1.52041
21,mean,11,0.177603
21,highlight,11,0.186086
22,median,11,1.49749
22,mean,11,0.177374
22,highlight,11,0.174311
1,median,11,1.64478
1,mean,11,0.174065
1,highlight,11,0.176291
12,median,11,1.55605
12,mean,11,0.173767
12,highlight,11,0.173994
0,median,11,1.60422
0,mean,11,0.181615
0,highlight,11,0.17382
5,median,11,1.57327
5,mean,11,0.175158
5,highlight,11,0.175553
13,median,11,6.77174
13,mean,11,0.697735
13,highlight,11,0.704302
15,median,11,6.56383
15,mean,11,0.697124
15,highlight,11,0.701094
7,median,11,6.49822
7,mean,11,0.698893
7,highlight,11,0.706279
9,rotate,0,0.118328
9,schear,0,0.117446
6,rotate,0,0.117772
6,schear,0,0.117565
24,rotate,0,0.117303
24,schear,0,0.117151
21,rotate,0,0.130304
21,schear,0,0.116668
22,rotate,0,0.117471
22,schear,0,0.117077
1,rotate,0,0.117541
1,schear,0,0.11729
12,rotate,0,0.118175
12,schear,0,0.125905
0,rotate,0,0.122306
0,schear,0,0.122239
5,rotate,0,0.122295
5,schear,0,0.122239
13,rotate,0,0.474426
13,schear,0,0.47392
15,rotate,0,0.468708
15,schear,0,0.466356
7,rotate,0,0.473165
7,schear,0,0.467884
9,median,3,0.0758991
